PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
ZHEN HAI;CN;29,95;121,7
ZHOUSHAN;CN;30;122,1
JIANGYIN;CN;31,916667;120,233333
GAOGANG;CN;32,283333;119,85
YANGZHOU;CN;32,266667;119,433333
ZHENJIANG;CN;32,216667;119,433333
NANJING;CN;32,083333;118,75
WU HU;CN;31,333333;118,366667
ANKINGCHENG;CN;30,516667;117,033333
HANKOW;CN;30,583333;114,283333
WANXIAN;CN;30,816667;108,433333
CHUNG CHING;CN;29,566667;106,633333
LIANYUNGANG;CN;34,733333;119,45
QINGDAO GANG;CN;36,033333;120,266667
WEIHAI;CN;37,5;122,1
YANTAI;CN;37,55;121,45
LONGKOU GANG;CN;37,633333;120,283333
DAGU TANGGU;CN;38,966667;117,666667
TIANJIN XIN GANG;CN;38,966667;117,833333
HULUDAO GANG;CN;40,7;120,983333
YINGKOU;CN;40,683333;122,233333
LUSHUN;CN;38,783333;121,25
DALIAN;CN;38,916667;121,666667
NAMPO;KP;38,716667;125,4
KYOMIP'O;KP;38,733333;125,616667
HAEJU HANG;KP;38;125,7
INCHON;KR;37,466667;126,616667
KUNSAN;KR;35,983333;126,616667
MOKPO;KR;34,783333;126,383333
CHEJU HANG;KR;33,516667;126,533333
YOSU;KR;34,733333;127,75
SURIGAO CITY;PH;9,783333;125,5
NASIPIT PORT;PH;8,983333;125,333333
HINATUAN;PH;8,366667;126,333333
MANGAGOY;PH;8,233333;126,316667
MATI;PH;6,95;126,216667
DAVAO;PH;7,066667;125,616667
GENERAL SANTOS;PH;6,116667;125,183333
POLLOC (COTABATO);PH;7,35;124,216667
PAGADIAN;PH;7,833333;123,433333
MARGOSATUBIG;PH;7,583333;123,166667
SANTA CLARA;PH;7,783333;122,683333
ZAMBOANGA;PH;6,9;122,066667
JIMENEZ;PH;8,333333;123,866667
PORT OZAMIS;PH;8,133333;123,85
ILIGAN;PH;8,233333;124,233333
CAGAYAN DE ORO;PH;8,5;124,666667
BUGO;PH;8,516667;124,75
VILLANUEVA;PH;8,583333;124,766667
BUTUAN CITY;PH;8,95;125,533333
BASILIAN CITY (ISABELA);PH;6,716667;121,966667
PORT HOLLAND;PH;6,55;121,866667
JOLO;PH;6,05;121
SIASI;PH;5,55;120,816667
FUZHOU;CN;26,083333;119,3
ORMOC;PH;11;124,6
PALOMPON;PH;11,05;124,383333
TAGBILARAN;PH;9,65;123,85
TUBIGAN;PH;9,95;123,966667
CEBU;PH;10,3;123,9
TOLEDO;PH;10,366667;123,633333
SAN CARLOS;PH;10,483333;123,416667
BAIS;PH;9,6;123,116667
DUMAGUETE;PH;9,316667;123,3
LAZI;PH;9,133333;123,633333
PULUPANDAN;PH;10,516667;122,8
PORT CAPIZ;PH;11,6;122,716667
JORDAN;PH;10,666667;122,583333
ILOILO;PH;10,7;122,583333
PUERTO PRINCESA;PH;9,733333;118,733333
MAASIN;PH;10,133333;124,833333
BAYBAY;PH;10,683333;124,8
SORSOGON;PH;12,966667;124
